"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","779","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","1435","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","614","@smoke Verify page title","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","10242","should login successfully with valid credentials","auth-chromium","2026-09-08","passed","2026-09-08","@auth Login Smoke Suite","","",""
"","1454","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","16212","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","2026-09-08","passed","2026-09-08","@smoke Navigation to PIM","","",""
"","33523","should complete employee lifecycle: create → delete → verify absence","regression-firefox","2026-09-08","passed","2026-09-08","@regression PIM Employee Lifecycle","","",""
"","695","@smoke find specific product another way","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","33340","should complete employee lifecycle: create → delete → verify absence","regression-chromium","2026-09-08","passed","2026-09-08","@regression PIM Employee Lifecycle","","",""
"","14466","should logout user and invalidate session","auth-chromium","2026-09-08","passed","2026-09-08","@auth Logout Flow","","",""
"","41005","should complete employee lifecycle: create → delete → verify absence","regression-webkit","2026-09-08","passed","2026-09-08","@regression PIM Employee Lifecycle","","",""
"","19072","Authenticate","setup-firefox","2026-09-08","passed","2026-09-08","","","",""
"","16000","Authenticate","setup-webkit","2026-09-08","passed","2026-09-08","","","",""
"","1384","@smoke add to cart functionality","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","1063","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","829","@smoke product cost validation","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","4280","Should successfully provision a new employee record via POST","api-only","2026-09-08","passed","2026-09-08","OrangeHRM - PIM Module REST API Validations","","",""
"","734","@smoke find specific product","smoke-chromium","2026-09-08","passed","2026-09-08","","","",""
"","15912","Authenticate","setup-chromium","2026-09-08","passed","2026-09-08","","","",""
